academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Accountancy,GE1204,Living with the Unexpected and Unknown in Modern Society,3,false,"A,B",86,240,N,,true
Asian & International Studies,GE2205,Lifestyle Diversity and Choices,3,true,B,0,61,N,,true
Asian & International Studies,GE2206,Sustainable Cities for the 21st Century,3,true,B,6,73,N,,true
Asian & International Studies,GE2214,"Gender, Culture and Society",3,true,B,3,71,N,,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",1,191,N,,true
Biology & Chemistry,GE1302,The Science of Art,3,true,"A,B",1,100,N,,true
Biology & Chemistry,GE2302,Forensics and Modern Society,3,true,B,0,60,N,,true
Building Science & Technology,GE2227,Preservation and Revitalization of Buildings with Heritage Value inside City Environments,3,true,"A,B",10,143,N,,true
Architecture and Civil Engg,GE2303,Save the Earth: Sustainable Development,3,true,"A,B",9,100,N,,true
Architecture and Civil Engg,GE2310,Introduction to Kanyu for the Built Environment,3,true,"A,B",1,101,N,,true
Chinese Civilisation Centre,GE1104,Chinese Cultural Canons and Their Modern Application,3,true,"A,B",13,107,N,,true
Chinese Civilisation Centre,GE1105,Chinese Music Appreciation,3,true,"A,B",11,107,N,,true
Chinese Civilisation Centre,GE1106,Chinese Art Appreciation,3,true,"A,B",6,77,N,,true
Chinese Civilisation Centre,GE1107,The City in Chinese History and Culture,3,true,"A,B",3,31,N,,true
Chinese Civilisation Centre,GE1111,"Diseases, Culture and History: Hong Kong, China and the World",3,true,"A,B",0,78,N,,true
Chinese Civilisation Centre,GE1112,Chán Culture and Contemporary Society,3,true,"A,B",4,80,N,,true
Chinese Civilisation Centre,GE1114,Women's Lives in Chinese History,3,true,"A,B",7,160,N,,true
Chinese Civilisation Centre,GE1115,Christianity and Chinese Culture,3,true,"A,B",0,58,N,,true
Chinese Civilisation Centre,GE1501,Chinese Civilisation - History and Philosophy,3,true,"A,B",33,1751,N,,true
Chinese Civilisation Centre,GE2119,Passion for Books: Reading and Publishing in Greater China,3,true,"A,B",2,80,N,,true
Media and Communication,GE2225,Media and Consumption: Food and Fashion in Everyday Life,3,true,"A,B",5,121,N,,true
Media and Communication,GE3201,China in the Eyes of World Media,3,true,"A,B",17,173,N,,true
Media and Communication,GE3202,Citizen Journalism and Civil Society,3,true,"A,B",3,121,N,,true
"Chinese, Transl & Linguistics",GE2104,Search for Modern Chinese Self - How to Be “Modern” and “Chinese”?,3,true,"A,B",2,80,N,,true
"Chinese, Transl & Linguistics",GE2107,Ideology and Creativity: Unwrapping “Japanese Culture”,3,true,"A,B",0,80,N,,true
"Chinese, Transl & Linguistics",GE2113,Reading Colonialism and the Modern Experience,3,true,"A,B",37,116,N,,true
"Chinese, Transl & Linguistics",GE2116,Chinese Written Characters and East Asian Modernity,3,true,"A,B",26,80,N,,true
"Chinese, Transl & Linguistics",GE2117,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",3,true,B,0,140,N,,true
"Chinese, Transl & Linguistics",GE4101,Madness and Literature,3,true,B,19,80,N,,true
Sch of Energy and Environment,GE1301,Climate Change and Extreme Weather,3,true,"A,B",5,116,N,,true
Sch of Energy and Environment,GE1308,Energy: Today and Tomorrow,3,true,"A,B",0,183,N,,true
