academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
English,GE1401,University English,3,true,B,48,725,N,English,true
English,GE2401,English for Science,3,true,B,40,300,N,English,true
English,GE2402,English for Business Communication,3,true,B,49,1075,N,English,true
English,GE2404,Asian Literature in English,3,true,B,1,50,N,English,true
English,GE2405,Creative Writing,3,true,B,24,75,N,English,true
English,GE2406,Shakespeare: Introduction to Genius,3,true,B,26,50,N,English,true
English,GE2407,"Reading Lives, Writing Selves: Autobiography and Culture",3,true,B,16,50,N,English,true
English,GE2408,Travel Writing: Discovery and Experience,3,true,B,33,250,N,English,true
English,GE2409,Words and Images: Reading and Writing in the 21st Century,3,true,B,2,50,N,English,true
English,GE2410,English for Engineering,3,true,B,20,600,N,English,true
English,GE2411,Legal English,3,true,B,0,65,N,English,true
English,GE3401,Exploring English Cinema,3,true,B,12,200,N,English,true
Chinese and History,GE1501,Chinese Civilisation - History and Philosophy,3,true,"A,B",58,1105,N,Chinese (Eng Section Avail),true
Chinese and History,GE1101,Chinese Cultural Heritage in Modern Perspective,3,true,"A,B",1,82,N,English,true
School of Creative Media,GE1102,Cinema: East and West,3,true,B,6,40,N,English,true
Chinese and History,GE1106,Chinese Art Appreciation,3,true,"A,B",6,82,N,English,true
Public Policy,GE1109,Values and Justice in the Contemporary World,3,true,B,5,45,N,English,true
School of Creative Media,GE1110,Exploring Contemporary Art,3,true,"A,B",112,180,N,English,true
School of Creative Media,GE1113,Visual Storytelling and Cultural Thinking,3,true,"A,B",8,100,N,English,true
Public Policy,GE1118,Philosophy Goes to the Movies,3,true,B,7,45,N,English,true
Public Policy,GE1120,Thinking Philosophically: Bridging the Gap between Arts and Sciences,3,true,B,8,45,N,English,true
Asian & International Studies,GE1121,"The Japanese Way of Tea: History, Arts, Architecture and Philosophy",3,true,B,11,120,N,English,true
Public Policy,GE1122,Animals and Animal Welfare: An Interdisciplinary Approach,3,true,B,0,45,N,English,true
Chinese and History,GE1125,Architecture and Space in Chinese Culture,3,true,"A,B",2,83,N,English,true
School of Law,GE1126,Law for Smart Consumers,3,true,B,18,50,N,English,true
School of Creative Media,GE1129,Creative Photography,3,true,"A,B",0,80,N,English,true
School of Creative Media,GE1130,Introduction to Digital Media,3,true,B,15,58,N,English,true
Linguistics and Translation,GE1132,"Mind, Brain and Language: How Are Human Beings Special?",3,true,B,36,60,N,English,true
Applied Social Sciences,GE1134,Movies and Psychology,3,true,B,0,21,N,English,true
Public Policy,GE2101,Rational Thinking and Creative Ideas,3,true,B,1,90,N,English,true
Chinese and History,GE2104,Search for Modern Chinese Self - How to Be “Modern” and “Chinese”?,3,true,"A,B",61,80,N,English,true
Public Policy,GE2106,Philosophy and Life: A Dialogue,3,true,B,4,45,N,English,true
Asian & International Studies,GE2107,Ideology and Creativity: Unwrapping “Japanese Culture”,3,true,"A,B",97,180,N,English,true
English,GE2108,Literature in Our Lives,3,true,"A,B",14,60,N,English,true
Applied Social Sciences,GE2109,"Love, Sex, and Relationships: Psychological Perspectives",3,true,B,2,100,N,English,true
Asian & International Studies,GE2117,"Eat, Drink, Man, Woman: Korean Cultural Identity",3,true,B,4,180,N,English,true
Linguistics and Translation,GE2122,"The Cantonese Language in Use: Language, Grammar and Culture",3,true,"A,B",7,120,N,English,true
Linguistics and Translation,GE2128,The Sounds of the World’s Languages,3,true,B,37,102,N,English,true
Applied Social Sciences,GE2129,Psychology for Young Professionals,3,true,B,11,400,N,English,true
Applied Social Sciences,GE2130,Happiness: An Interdisciplinary Perspective,3,true,B,5,80,N,English,true
Chinese and History,GE2132,Discovering the Dynamics of Contemporary Cities and Architecture in China,3,true,"A,B",2,82,N,English,true
School of Creative Media,GE4102,"Video Game: History, Industry, Society, and Creativity",3,true,B,3,80,N,English,true
Information Systems,GE1201,Information Management and its Social Impact,3,true,"A,B",37,80,N,English,true
Economics & Finance,GE1202,Managing Your Personal Finance,3,true,B,51,160,N,English,true
Economics & Finance,GE1205,Green Economics,3,true,B,2,160,N,English,true
Marketing,GE1207,Organizational and Personal Image Management,3,true,"A,B",11,100,N,English,true
Media and Communication,GE1210,Celebrities and Media: Contemporary Issues in Hong Kong Popular Culture,3,true,B,1,120,N,English,true
Information Systems,GE1212,Building Personal and Firm Images in the Digital Society,3,true,B,44,80,N,English,true
School of Law,GE1214,Citizens and Criminal Justice,3,true,B,23,100,N,English,true
Management,GE1216,"Loving Work, Working to Love",3,true,"A,B",5,160,N,English,true
Accountancy,GE1219,Smart Auditing for a Better Life,3,true,B,3,65,N,English,true
Public Policy,GE1220,Enhancing Your Service Leadership for the 21st Century,3,true,B,0,70,N,English,true
Accountancy,GE1222,Accounting in Everyday Life,3,true,B,107,195,N,English,true
Marketing,GE1225,Become a Smart and Responsible Consumer,3,true,B,6,80,N,English,true
Applied Social Sciences,GE1226,Youth in a Changing Society,3,true,B,1,25,N,English,true
Management Sciences,GE2202,Globalization and Business,3,true,B,53,85,N,English,true
Management,GE2204,Business Ethics and Society,3,true,"A,B",57,80,N,English,true
Marketing,GE2209,Market Developments in China,3,true,B,103,160,N,English,true
Public Policy,GE2210,China: A Socio-Political Transformation,3,true,"A,B",63,82,N,English,true
Applied Social Sciences,GE2211,"Sexuality, Culture and Diversity",3,true,B,1,82,N,English,true
Management Sciences,GE2213,Understanding Uncertainty and Statistical Reasoning,3,true,"A,B",95,120,N,English,true
Marketing,GE2220,Sustainable Business: Doing Good Business While Doing Good,3,true,B,91,160,N,English,true
Applied Social Sciences,GE2221,Violence and Crime,3,true,B,3,240,N,English,true
English,GE2222,"Sports, Culture and Society",3,true,B,5,60,N,English,true
Applied Social Sciences,GE2223,Interpersonal Skills and Positive Personal Development,3,true,B,2,40,N,English,true
Media and Communication,GE2225,Media and Consumption: Food and Fashion in Everyday Life,3,true,B,76,120,N,English,true
Building Science & Technology,GE2227,Preservation and Revitalization of Buildings with Heritage Value inside City Environments,3,true,"A,B",6,100,N,English,true
Economics & Finance,GE2229,Uncovering the Global Economy through News,3,true,B,35,80,N,English,true
Asian & International Studies,GE2239,"Food: Culture, Science and Society",3,true,B,8,180,N,English,true
Marketing,GE2240,Sustainable Development in China and its Global Impact,3,true,B,23,65,N,English,true
Public Policy,GE2244,"The Hidden City: Space, Power and Social Processes in Hong Kong",3,true,B,1,40,N,English,true
Management,GE2247,Social Innovation and Entrepreneurial Venture Exploration (SIEVE),3,true,B,37,80,N,English,true
Marketing,GE2248,Understanding Persuasion in Everyday Life,3,true,B,2,80,N,English,true
Architecture and Civil Engg,GE2252,Transport and Development,3,true,B,3,56,N,English,true
Information Systems,GE2257,Mobile Applications for Business,3,true,"A,B",61,80,N,English,true
Media and Communication,GE3202,Citizen Journalism and Civil Society,3,true,"A,B",2,120,N,English,true
Sch of Energy and Environment,GE1301,Climate Change and Extreme Weather,3,true,"A,B",1,60,N,English,true
Architecture and Civil Engg,GE1304,Visual Expression and Communication,3,true,"A,B",4,55,N,English,true
Architecture and Civil Engg,GE1306,Urban Development and Construction - From the Past to the Future,3,true,B,2,55,N,English,true
Sch of Energy and Environment,GE1308,Energy: Today and Tomorrow,3,true,"A,B",5,40,N,English,true
Physics & Materials Science,GE1309,Science in Chinese Kung Fu,3,true,B,18,99,N,English,true
Biology & Chemistry,GE1311,Death: A Discovery Approach,3,true,"A,B",10,80,N,English,true
Architecture and Civil Engg,GE1313,Earthquakes,3,true,B,1,56,N,English,true
Electronic Engineering,GE1314,Ironman: The Art and Science of Robots in Our Society,3,true,B,90,104,N,English,true
Electronic Engineering,GE1315,Silicon Nanoelectronics,3,true,B,41,93,N,English,true
Col of Science & Engineering,GE1319,Interdisiplinary Research for Smart Professionals,3,true,"A,B",8,18,N,English,true
Mechanical and Biomedical Engg,GE1320,Engineering Your Health,3,true,B,68,93,N,English,true
Mechanical and Biomedical Engg,GE1321,Our Life in the Nuclear Age,3,true,B,71,93,N,English,true
Architecture and Civil Engg,GE1323,Discovering the Living Environment: How Green Are You?,3,true,B,8,56,N,English,true
Systems Engg and Engg Mgt,GE1326,Common Accidents in Modern Day City Life - Inevitable? Preventable?,3,true,B,1,100,N,English,true
Architecture and Civil Engg,GE1333,Low Carbon Footprint-Energy Saving Practices in Everyday Life,3,true,B,1,56,N,English,true
Sch of Energy and Environment,GE1337,Urban Green City: Pollution and Solution,3,true,B,0,40,N,English,true
Electronic Engineering,GE1339,Wireless Connectivity in Modern Society,3,true,B,1,145,N,English,true
Mechanical and Biomedical Engg,GE1340,"Materials, Civilization and Modern Development",3,true,B,1,55,N,English,true
Electronic Engineering,GE1342,Light: from Double Rainbows to Optical Fibers,3,true,B,2,146,N,English,true
Mathematics,GE1350,Essential Mathematics in Daily Life,3,true,B,3,130,N,English,true
Systems Engg and Engg Mgt,GE2304,Foundations of Innovation and Entrepreneurship,3,true,B,25,50,N,English,true
Physics & Materials Science,GE2305,Astronomy - The Sky and Us,3,true,"A,B",95,157,N,English,true
Biology & Chemistry,GE2307,"Science, Fiction and the Supernatural",3,true,B,2,96,N,English,true
Building Science & Technology,GE2311,Technology and Society,3,true,"A,B",13,110,N,English,true
Computer Science,GE2313,Global IT Case Studies,3,true,"A,B",41,120,N,English,true
Computer Science,GE2315,Security and Privacy in the Information Age,3,true,"A,B",5,120,N,English,true
